epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9234,2.347,3.20326,1.68278,0.06,0.38163,0.05214,0.01569,2.04523,3.23355,1.61027,0.0006,0.0006,0.0006
2,97.7657,2.16448,2.25607,1.46712,0.47532,0.21908,0.22058,0.07562,2.59276,2.87617,1.91131,0.00119584,0.00119584,0.00119584
3,137.317,2.09571,1.84801,1.38006,0.48259,0.39576,0.36528,0.13713,2.33541,2.24043,1.64459,0.00176714,0.00176714,0.00176714
4,176.51,2.09895,1.74352,1.36169,0.43725,0.57657,0.37991,0.12741,2.31824,2.97111,1.65454,0.0018812,0.0018812,0.0018812
5,215.495,2.0787,1.64825,1.35896,0.4717,0.57597,0.44509,0.16708,2.25152,2.17166,1.59058,0.0018416,0.0018416,0.0018416
6,254.703,2.10837,1.58251,1.36623,0.53514,0.53004,0.45809,0.18674,2.20047,1.9309,1.48067,0.001802,0.001802,0.001802
7,292.738,2.05487,1.51783,1.35227,0.39657,0.48303,0.35002,0.1383,2.268,2.03671,1.5094,0.0017624,0.0017624,0.0017624
8,331.426,2.03542,1.50678,1.34378,0.51825,0.55124,0.46305,0.18425,2.1155,1.72617,1.45158,0.0017228,0.0017228,0.0017228
9,369.846,1.98897,1.44722,1.3412,0.52785,0.49381,0.45175,0.18869,2.17965,1.59905,1.50918,0.0016832,0.0016832,0.0016832
10,408.519,1.97123,1.40926,1.32406,0.5214,0.43463,0.39892,0.15314,2.31959,1.7416,1.6153,0.0016436,0.0016436,0.0016436
11,447.586,1.93785,1.36636,1.3254,0.47077,0.49117,0.42825,0.16681,2.27573,1.70018,1.60715,0.001604,0.001604,0.001604
12,487.809,1.93237,1.34467,1.29623,0.50924,0.61131,0.50285,0.21278,2.07817,1.56256,1.44051,0.0015644,0.0015644,0.0015644
13,526.073,1.90435,1.33537,1.29836,0.51912,0.56537,0.49172,0.19827,2.11352,1.61719,1.45925,0.0015248,0.0015248,0.0015248
14,563.658,1.89943,1.30597,1.32176,0.50973,0.59516,0.52981,0.20845,2.03084,1.54918,1.42536,0.0014852,0.0014852,0.0014852
15,601.473,1.87888,1.30725,1.28371,0.52353,0.61837,0.5177,0.20955,2.07394,1.42343,1.42832,0.0014456,0.0014456,0.0014456
16,640.223,1.88204,1.298,1.25179,0.52378,0.63958,0.51369,0.1951,2.23987,1.45027,1.46889,0.001406,0.001406,0.001406
17,678.489,1.87607,1.25384,1.25633,0.54105,0.63735,0.52576,0.23449,1.97923,1.42608,1.38584,0.0013664,0.0013664,0.0013664
18,716.951,1.82407,1.22443,1.26619,0.47714,0.63251,0.49945,0.21485,2.06714,1.50877,1.43497,0.0013268,0.0013268,0.0013268
19,754.762,1.81255,1.25757,1.26936,0.44005,0.57597,0.47277,0.20764,2.04556,1.57388,1.42232,0.0012872,0.0012872,0.0012872
20,793.702,1.79128,1.22866,1.23314,0.51649,0.5689,0.50935,0.2392,1.90929,1.53371,1.36826,0.0012476,0.0012476,0.0012476
21,832.448,1.81447,1.20737,1.26142,0.55049,0.63604,0.54462,0.23115,2.04339,1.41684,1.41859,0.001208,0.001208,0.001208
22,870.709,1.84709,1.19364,1.2567,0.56597,0.58517,0.5466,0.23533,2.02839,1.39394,1.42268,0.0011684,0.0011684,0.0011684
23,907.684,1.81173,1.20612,1.2727,0.5687,0.64664,0.5761,0.26405,1.9142,1.36029,1.39201,0.0011288,0.0011288,0.0011288
24,946.881,1.76051,1.15752,1.23696,0.55373,0.63135,0.56595,0.24383,1.9946,1.35726,1.40726,0.0010892,0.0010892,0.0010892
25,985.619,1.77788,1.16045,1.22278,0.54134,0.61837,0.53973,0.24687,1.94851,1.35009,1.36838,0.0010496,0.0010496,0.0010496
26,1023.19,1.74565,1.15241,1.2262,0.53708,0.60071,0.51937,0.23271,1.99385,1.39379,1.38758,0.00101,0.00101,0.00101
27,1061.67,1.72939,1.13347,1.2356,0.51546,0.60898,0.51566,0.23404,1.94031,1.35532,1.3703,0.0009704,0.0009704,0.0009704
28,1101.06,1.72155,1.11048,1.19738,0.51328,0.65018,0.56383,0.25675,1.9583,1.30789,1.3873,0.0009308,0.0009308,0.0009308
29,1137.94,1.76969,1.17278,1.26198,0.54575,0.67845,0.58935,0.27244,1.89514,1.29349,1.35732,0.0008912,0.0008912,0.0008912
30,1176.1,1.70735,1.12949,1.21262,0.59277,0.65322,0.60375,0.29342,1.84733,1.27553,1.34846,0.0008516,0.0008516,0.0008516
31,1214.32,1.73659,1.12067,1.20164,0.58388,0.63959,0.59848,0.28262,1.86655,1.31322,1.3584,0.000812,0.000812,0.000812
32,1252.52,1.7256,1.13103,1.21797,0.55612,0.64311,0.57696,0.26363,1.92538,1.34631,1.36902,0.0007724,0.0007724,0.0007724
33,1291.31,1.68874,1.09237,1.18462,0.56041,0.63604,0.57718,0.25896,1.98336,1.32644,1.3833,0.0007328,0.0007328,0.0007328
34,1328.88,1.73027,1.13341,1.24403,0.56108,0.65948,0.58413,0.2747,1.91664,1.29678,1.36063,0.0006932,0.0006932,0.0006932
35,1366.68,1.64709,1.08682,1.20127,0.52835,0.70671,0.60221,0.27849,1.87583,1.2948,1.33862,0.0006536,0.0006536,0.0006536
36,1405.15,1.67858,1.06176,1.18742,0.53119,0.68198,0.59179,0.2646,1.92986,1.32479,1.3582,0.000614,0.000614,0.000614
37,1442.88,1.64259,1.0646,1.17903,0.56216,0.62191,0.5788,0.27341,1.91463,1.32616,1.36153,0.0005744,0.0005744,0.0005744
38,1480.91,1.67566,1.08979,1.19794,0.56431,0.66078,0.59713,0.28975,1.85384,1.30014,1.3329,0.0005348,0.0005348,0.0005348
39,1518.64,1.65763,1.06243,1.19404,0.55528,0.65724,0.62368,0.28975,1.86411,1.28443,1.33868,0.0004952,0.0004952,0.0004952
40,1556.44,1.66371,1.0486,1.1934,0.59185,0.61837,0.61425,0.28427,1.91003,1.28974,1.35882,0.0004556,0.0004556,0.0004556
41,1589.59,1.64338,1.11628,1.19933,0.56978,0.65371,0.615,0.29179,1.88268,1.3181,1.34923,0.000416,0.000416,0.000416
